id,artist_name,album_name,year,title,number,text,language,genre,mood_pred,score
0,The Beatles,Beatles For Sale,1964,Rock and Roll Music,4,"chorus
Just let me hear some of that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's gotta be rock and roll music
If you wanna dance with me
If you wanna dance with me
I've got no kick against modern jazz
Unless they try to play it too darn fast
And lose the beauty of the melody
Until they sound just like a symphony
That's why I go for that that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's gotta be rock and roll music
If you wanna dance with me
If you wanna dance with me
I took my loved one over across the tracks
So she can hear my man awail a sax
I must admit they have a rocking band
Man, they were blowing like a hurricane
That's why I go for that that rock and roll music
Any old way you choose it
It's got a back beat, you can't lose it
Any old time you use it
It's gotta be rock and roll music
If you wanna dance with me
If you wanna dance with me
Way down South they had a jubilee
The jokey folks they had a jamboree
They're drinking home brew from a water cup
The folks dancing there are all shook up
And started playing that that rock and roll music
Any old time you use it
It's got a back beat, you can't lose it
Any old time you use it
It's gotta be rock and roll music
If you wanna dance with me
If you wanna dance with me
Don't care to hear them play a tango
And In The Mood they take a mambo
It's way to early for a congo
So keep a rocking that piano",en,Pop,fear,0.979992092
1,Imagine Dragons,Infinity Blade II [OST],2011,Monster,3,"Ever since I could remember
Everything inside of me
Just wanted to fit in
I was never one for pretenders
Everything I tried to be
Just wouldn't settle in 
If I told you what I was
Would you turn your back on me ?And if I seem dangerous
Would you be scared ?
I get the feeling just because
Everything I touch isn't dark enough
If this problem lies in me
I'm only a man with a candle to guide me
I'm taking a stand to escape what's inside me
A monster, a monster
I'm turning to a monster
A monster, a monster
And it keeps getting stronger
Can I clear my conscience
If I'm different from the rest Do I have to run and hide ? I never said that I want this
This burden came to me
And it's made it's home inside
If I told you what I was
Would you turn your back on me ?And if I seem dangerous
Would you be scared ?
I get the feeling just because
Everything I touch isn't dark enough
If this problem lies in me
I'm only a man with a candle to guide me
I'm taking a stand to escape what's inside me
A monster, a monster
I'm turning to a monster
A monster, a monster
And it keeps getting stronger (x2)",en,Alternative,anger,0.999812663
2,Rammstein,Ich Will [Single],2001,Pet Sematary,5,"Under the arc of the weather stain boards
Ancient goblins, and warlords
Come out of the ground, not making a sound
The smell of death is all around
And the nights come and the cold wind blows
No one cares and nobody knows
I don't want to be buried in a pet cemetery
I don't want to live my life again
I'll follow Victor to a sacred place
There ain't no dream I can escape
Molars and fangs and clicking of bones
Spirits moaning among the tombstones
When the night has come and the moon is bright
Someone cries and something ain't right
I don't want to be buried in a pet cemetery
I don't want to live my life again
Oh no
The moon is full, the air is still
All of a sudden I feel a chill
Victor is grinning, flesh rotting away
Skeletons dance, I curse this day
And on the night when the wolves cry out
Listen close and you can hear me shout
I don't want to be buried in a pet cemetery
I don't want to live my life again
Oh no",en,Rock,anger,0.895727038
3,Coldplay,Clocks [Single] ,2002,Crests Of Waves,2,"Crests Of Waves 
It could be worse
I could be alone
I could be locked in here on my own
Like a stone that suddenly drops
It never stops, no
I could be lost
Or I Could be saved
Calling out from beneath the waves
Beaten down by this ocean rain
Never again
Never again
Ohhh, Ohhh
Ohhh, Ohhh
Screaming out from the crests of waves
It could be worse
Bitter or sweet
It could be snapped from the jaws of defeat
Like a light lit upon a beach
Wear your heart on your sleeve, oh
You want to stop before you begin
You want to sink when you know you could swim
You want to stop just before you begin
Never give in
Never give in
Ohhh, Ohhh
Ohhh, Ohhh
Screaming out from the crests of waves
Nothing matters
Except life and the love you make
Nothing matters
Except life and the love you make
Nothing matters
Except life and the love you make
Except life and the love you make
Screaming out from the crests of waves
Screaming out from the crests of waves
Where your longing to be saved
Screaming out from the crests of waves
Where your longing to be saved
Screaming out from the crests of waves",en,Rock,anger,0.945834816
4,Depeche Mode,Remix 81/04 Edition Limitée,2004,Little 15,6,"Little fifteen,
You help her forget
The world outside
You're not part of it yet.
And if you could drive,
You could drive her away
To a happier place,
To a happier day
That exists in your mind
And in your smile.
She could escape there
Just for a while.
Little fifteen.
Little fifteen,
Why take the smooth with the rough
When things run smooth ?
It's already more than enough.
She knows your mind
Is not yet in league
With the rest of the world
And it's little intrigues.
Do you understand ?
Do you know what she means ?
As time goes by,
And when you've seen what she's seen.
You will,
Little fifteen.
Little fifteen,
Why does she have to defend
Her feelings inside
Why pretend
She's not had a life
A life of near misses
Now all that she wants
Is three little wishes :
She wants to see with your eyes,
She wants to smile with your smile,
She wants a nice surprise,
Every once in a while.
She wants to see with your eyes,
She wants to smile with your smile,
She wants a nice surprise,
Every once in a while.
Little fifteen",en,Alternative,joy,0.956836462
5,Muse,Showbiz,1999,Sunburn,1,"[First Verse]
Come waste your millions here
Secretly she sneers
Another corporate show
A guilty conscience grows
I'll feel a guilty conscience grow (x2)
[Chorus]
She burns like the sun
And I can't look away
And she'll burn our horizons make no mistakes
[Second Verse]
Come let the truth be shared
No-one ever dared
To break these endless lies
Secretly she cries
[Chorus]
[Third Verse] (x2)
And I'll hide from the world
Behind a broken frame
And I'll burn forever
I can't face the shame",en,Rock,sadness,0.999912858
6,The Weeknd,‎In Your Eyes (Remix) [Single],2020,In Your Eyes Remix (ft Doja Cat),1,"Oh
Ooh, yeah
I just pretend
That I'm in the dark, and
I don't regret'Cause my heart can't take a loss
I'd rather be so oblivious
I'd rather be with you
When it's said, when it's done, yeah
I don't ever wanna know
I can tell what you done, yeah
When I look at you
In your eyes
I see there's something burning inside you
Oh, inside you
In your eyes
I know it hurts to smile, but you try to
Oh, you try to
You always try to hide the pain
You always know just what to say
I always look the other way
I'm blind, I'm blind
In your eyes
You lie, but I don't let it define you
Oh, define you
I never lied
When I cried for you
And I know you cry too(Know you cry too)You're reading minds
Just couldn't deny you do
Always hard to say bye to you(And I taught myself to say)
Love the way you're talkin'Love your style, but, ooh, babe
We know that you got it from me
And it's haunting you deep
Too hard not to see it
Hate the way I feel love
Only hurts with real love
And it's taking every part of me
When you look, I could see love
One day, I'm giving you space
And the next day, you're giving me faces
And I like parties, not this place
It's comin' out of my bag for you to get wasted
I (Can't stop staring at you)It's like I forgot that staring is rude
And that's what five shots could turn me into (Oh yeah)But you've done most things that gentlemens do, so (Oh)
When it's said, when it's done, yeah
I would never let you know (Let you know)I'm ashamed of what I've done, yeah
When I look at you
In your eyes (Your eyes)I see there's something burning inside you (Inside you)Oh, inside you (Oh, inside you)In your eyes
I know it hurts to smile, but you try to (Try to)Oh, you try to (I try to, babe)
You always try to hide the pain (Oh, oh)You always know just what to say (Oh yeah)I always look the other way
I'm blind, I'm blind
In your eyes
You lie, but I don't let it define you (Hey)Oh, define you",en,RBSoul,anger,0.999514222
8,Queen,Queen II,1974,The loser in the end,5,"The loser in the end
Mama's gotta problem, she don't know what to say
Her little baby boy has just left home today
She's got to be the loser in the end 
She's got to be the loser in the end
Misuse her and you'll lose her as a friend
She's ma on whom you can always depend (ooh hoo)
She washed and fed, and clothed and cared for nearly twenty years
And all she gets is ""Goodbye Ma"" and the night times for her tears
She's got to be the loser in the end
She's got to be the loser in the end
Misuse her and you'll lose her as a friend (yeah)
She's ma on whom you can always depend (ooh hoo ooh ooh ooh)
So listen mothers everywhere to just one mother's son
You'll get forgotten all the way
If you don't let them have their fun
Forget regrets, and just remember 
It's not so long since you were young
You're bound to be the loser in the end
You're bound to be the loser in the end 
They'll choose their new shoes, that's not far to bend
You're ma on whom they can always depend (ooh hoo ooh ooh ooh)",en,Rock,sadness,0.999050438
9,Taylor Swift,Taylor Swift (Deluxe Edition),2006,I'm Only Me When I'm With You,12,"Friday night beneath the stars
In a field behind your yard
You and I are paintin' pictures in the sky
And sometimes we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side
And I know everything about you
I don't wanna live without you
Chorus:
I'm only up when your not down
Don't wanna fly if your'e still on the ground
It's like no matter what I do
Well you drive me crazy half the time
The other half im only trying to let you know that what I feel is true
And I'm only me when I'm with you
Just a small town boy and girl
Livin' in a crazy world
Tryin' to figure out what is and isn't true
And I don't try to hide my tears
My secrets or my deepest fears
Through it all nobody gets me like you do
And you know everything about me
You say that you can't live without me

When I'm with anybody else it's so hard to be myself
Quand je suis avec quelqu'un d'autre, c'est si difficile d'être moi-même
And only you can tell...Et seulement toi remarque...
When I'm with anybody else it's so hard to be myself
And only you can tell...
Chorus:
That I'm only up when your'e not down
Don't wanna fly if your'e still on the ground
It's like no matter what I do
Well you drive me crazy half the time
The other half im only trying to let you know that what I feel is true
And I'm only me
Who I wanna be
Well, I'm only me when I'm with you
With you
Uh huh
Yeah",en,Pop,joy,0.99787724
11,Lana Del Rey,God Bless America [Mixtape],2012,Kinda Outta Luck,7,"""Kinda Outta Luck""
I was born bad
But then I met you
You made me nice for a while
But my dark side's true.
You never cared what I did at all
Motel singer or the silver pole
I did what I had to do...
Femme fatale, always on the run
Diamonds on my wrist, whiskey on my tongue
Before I give back, I gotta get drunk
So get over here, pour me a cold one.
Babe you can see that I'm danger
Teetering off of the stage, yeah
Sparkling in sequins, say hey-yeah
Time to give in to the kindness of strangers.
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.
Wrong, I know, killing someone
It gets a little easier when you've done it once
You know that I'm fun, you know that I'm young
So tell me you're mine, let's get it on.
Babe you can see that I'm danger
Glamorous, but I'm deranged, yeah
Teetering off of the stage, yeah
I said it really nicely so can you be my savior?
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.
I was a dangerous girl
You were too nice for this world
And now I'm back on the prowl
Who wants to give it a whirl?
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.
Is it wro-wrong that I think it's kinda fun
When I hit you in the back of the head with a gun?
My daddy's in the trunk of his brand new truck
I really want him back, but I'm flat outta luck.",en,Alternative,joy,0.996986091
